DATA;Row Heading ;Column Heading
Да;Название|Rhizopus;Таксоны|Зигомицеты
Нет;Название|Rhizopus;Таксоны|Аэскоминцеты
Да;Название|Mucor;Таксоны|Зигомицеты
Нет;Название|Mucor;Таксоны|Аэскоминцеты
Да;Название|Absidia;Таксоны|Зигомицеты
Нет;Название|Absidia;Таксоны|Аэскоминцеты
Нет;Название|Saccharomyces;Таксоны|Зигомицеты
Да;Название|Saccharomyces;Таксоны|Аэскоминцеты
Нет;Название|Pichia ;Таксоны|Зигомицеты
Да;Название|Pichia ;Таксоны|Аэскоминцеты
Да;Название|Conidiobotus;Таксоны|Зигомицеты
Нет;Название|Conidiobotus;Таксоны|Аэскоминцеты
