ID Item
635 Разрушение_Хрупкое
636 Наименование_Ду_25
636 Разрушение_Хрупкое
637 Наименование_Ду_25
637 Разрушение_Хрупкое
638 Наименование_Ду*Ду=40*30
638 Разрушение_Хрупкое
639 Наименование_Ду_6
639 Разрушение_Хрупкое
641 Наименование_Ду*Ду=24*16
641 Разрушение_Хрупкое
642 Наименование_Ду*Ду=24*24
642 Разрушение_Хрупкое
643 Наименование_Ду*Ду=24*16
643 Разрушение_Хрупкое
644 Наименование_Ду*Ду=24*24
644 Разрушение_Хрупкое
645 Наименование_Ду*Ду=24*24
645 Разрушение_Хрупкое
646 Наименование_Ду*Ду=24*10
646 Разрушение_Хрупкое
647 Наименование_Ду*Ду=24*24
647 Разрушение_Хрупкое
648 Наименование_Ду_24
648 Разрушение_Хрупкое
649 Наименование_Ду*Ду=24*16
649 Разрушение_Хрупкое
650 Наименование_Ду_24
650 Разрушение_Хрупкое
651 Наименование_Ду_6
651 Разрушение_Хрупкое
652 Наименование_Ду*Ду=24*24
652 Разрушение_Хрупкое
653 Наименование_Ду_24
653 Разрушение_Хрупкое
654 Наименование_Ду_34
654 Разрушение_Хрупкое
655 Наименование_Ду_24
655 Разрушение_Хрупкое
656 Наименование_Ду_24
656 Разрушение_Хрупкое
657 Наименование_Ду_24
657 Разрушение_Хрупкое
658 Наименование_Ду*Ду=24*16
658 Разрушение_Хрупкое
659 Наименование_Ду*Ду=24*16
659 Разрушение_Хрупкое
661 Наименование_Ду*Ду=24*10
661 Разрушение_Хрупкое
662 Наименование_Ду*Ду=24*24
662 Разрушение_Хрупкое
663 Наименование_Ду_24
663 Разрушение_Хрупкое
664 Наименование_Ду_6
664 Разрушение_Хрупкое
665 Наименование_Ду_34
665 Разрушение_Хрупкое
667 Наименование_Ду_6
667 Разрушение_Хрупкое
668 Наименование_Ду_6
668 Разрушение_Хрупкое
669 Наименование_Ду_6
669 Разрушение_Хрупкое
670 Наименование_Ду_45
670 Разрушение_Хрупкое
671 Наименование_90_Ду_60
671 Разрушение_Хрупкое
673 Наименование_Ду*Ду=34*16
673 Разрушение_Хрупкое
674 Наименование_Ду_45
674 Разрушение_Вязкое
675 Наименование_Ду_25
676 Наименование_Ду_15
676 Разрушение_Хрупкое
678 Наименование_Ду_24
678 Разрушение_Хрупкое
1390 Наименование_Ду_25
1391 Наименование_Ду_15
1434 Наименование_Ду_15
1437 Наименование_Ду_15
1447 Наименование_Ду_15
1451 Наименование_Ду_6
